feature,mean_abs_shap,mean_shap
vol,0.5115031863386922,-1.5987211554602253e-17
up_bar_frac,0.38224314879485577,-2.042810365310288e-17
up_minus_down,0.30608388300098716,-3.552713678800501e-18
vol_second_half,0.22571710137964368,-1.7763568394002505e-18
vol_first_half,0.15947180590826276,-3.552713678800501e-18
log_close_slope,0.15641029993833608,8.881784197001253e-19
p95_abs_bar_ret,0.13922006544649457,1.3322676295501879e-18
close_last,0.08300714053327095,-4.440892098500626e-19
cum_ret,0.08300708670187719,1.7763568394002505e-18
ret_last_5,0.064793746503324,3.3306690738754697e-19
max_drawdown,0.06376775841466852,-2.220446049250313e-19
range_hl,0.04683854716237869,-1.1102230246251566e-18
min_low,0.04489700615806645,1.5543122344752192e-18
mean_bar_ret,0.036909446345163584,-4.440892098500626e-19
log_close_r2,0.0343337719313782,1.4432899320127034e-18
ret_skew,0.021053189288315524,4.440892098500626e-19
headline_count,0.006812185173740522,-2.7755575615628914e-19
max_high,0.0007111900801029787,-3.469446951953614e-21
